taxa,PC1,PC2,PC3
N17042,17.6630829598522,-3.26508134099924,1.82702233433137
N17044,4.82437241656272,0.612874584789515,-1.55984961192494
N17045,18.2443318283456,-4.05881564934962,0.846355884490955
N17046,18.9441372941651,-2.87559325018114,-1.17975737336718
N17047,18.5559780125621,-4.27234686048492,1.12811126665509
N18002,8.1528105097224,3.23109877949556,0.733825113907794
N18010,18.303272386005,-1.82754074763263,-0.622501876026151
N18011,14.3542118812278,-0.317001084336178,-1.86033141735395
N18012,16.1175428232075,-2.40158958512209,-0.318171008289624
N18015,17.8838175341133,-2.43352775119889,1.52090880363106
N18018,8.38303268059313,1.02707059835055,0.342207385497891
N18026,5.7383471122441,0.0924896895799528,2.65684750577196
N18029,17.4774212792087,-3.09498787489065,-0.994854799657077
N18033,17.4054558806142,-3.13004766584708,-1.11261123487522
N18034,19.1540323350543,-2.91444602161477,-1.28503885048431
N18035,16.6875872559077,-2.52970502408033,-0.876753803983036
N18036,16.5019427302327,-2.6753429939515,-1.08383689088561
N18037,16.6685018687547,-2.60396497526709,-0.915304934554362
N18038,16.5342602631051,-2.49512397224625,-0.94295105883055
N18039,16.1194158983626,-2.52003278742961,-0.97402844959038
N18040,11.135642936875,-0.0753314840380621,0.208972407933397
N18041,11.3506961265645,-0.137404594542589,0.0491219598642767
N18042,6.03304551419567,3.38875317612705,-0.878203509751576
N18043,11.9473571520285,-0.0715873799203699,-0.258706261332494
N18044,7.36212255616504,3.32336728511654,-0.627312324391137
N18045,7.33498957914244,3.53715372891311,-0.749987356541675
